Samtala,,Sérheiti,Hlutverk,Tegund,X (A),Y (N),nakvaemni,Uppdrættir,Ljósmyndir,Skrásetjari á vettvangi,Dags,Skrásetjari á gagnagrunn,Dagsetning innsláttar,Sveitarfélagsnúmer
ÁR-003:014,,,kálgarður,heimild,419641,382336,2,,,RGG,03/10/10,ÁE,,
ÁR-003:015,,,útihús,heimild,419722,382353,2,,,RGG,03/10/10,ÁE,,
ÁR-003:016,,,,heimild,419894,382380,2,,ÁR_003_016_N; ÁR_003_016_NV,RGG,03/10/10,,,
ÁR-003:017,,,beitarhús,heimild,420081,382397,2,,ÁR_003_017a_N; ÁR_003_017C_N,RGG,03/10/10,ÁE,,
ÁR-003:018,,,fjárhús,tóft,419694,382772,2,ÁR-003_018,ÁR_003_018_NNA,RGG,04/10/10,,,
ÁR-003:019,,,beitarhús,tóft,419437,382940,2,ÁR-003_019,ÁR_003_019_NNA,RGG,04/10/10,,,
ÁR-003:020,,,fjárhús,tóft,419424,382403,2,ÁR-003_020,ÁR_003_020_NNV,RGG,04/10/10,,,
ÁR-003:021,,,túngarður,garðlag,420033,382467,2,,,RGG,04/10/10,,,
ÁR-003:022,,,útihús,tóft,419471,382201,2,ÁR-003_022,ÁR_003_022_V,RGG,04/10/10,,,
ÁR-003:023,,,rétt,gerði,419958,382348,2,ÁR-003_023,ÁR_003_023_N; ÁR_003_023_N(a); Ár_003_023_NA,RGG,04/10/10,,,
ÁR-003:024,,,vörslugarður,garðlag,419925,382442,2,,ÁR_003_024_A,RGG,04/10/10,,,
ÁR-003:025,,,,heimild,419098,382021,2,,,RGG,03/10/10,,,
ÁR-003:026,,,brunnur,brunnur,419649,382323,2,,ÁR_003_026; ÁR_003_026_S,RGG,04/10/10,,,
ÁR-003:027,,Merkjavarða,landamerki,varða,419248,382947,2,,ÁR_003_027_V,RGG,04/10/10,,,
ÁR-003:028,,,útihús,þúst,419679,382460,2,,,RGG,30/09/10,,,
ÁR-003:029,,,óþekkt,garðlag,420024,382607,2,,ÁR_003_029_V; ÁR_003_029_V(2),RGG,04/10/10,,,
ÁR-003:030,,,mógrafir,tóft,419776,382738,2,,,RGG,01/10/10,,,
ÁR-003:031,,,leið,gata,419348,382907,2,,,RGG,,,,
ÁR-004:001,,Urriðafoss,bústaður,bæjarhóll,417667,381327,2,,ÁR_004_001_NV; ÁR_004_001_VNV,RGG,12/05/11,SG,14/05/06,
ÁR-004:002,,,landamerki,heimild,416476,380888,2,,,RGG,13/05/11,ÁE,,
ÁR-004:003,,,landamerki,varða,415697,381446,2,,,RGG,13/05/11,ÁE,,
ÁR-004:004,,,vörslugarður,hleðsla,417763,381287,2,ÁR004-004,ÁR_004_004_V,RGG,12/05/11,,,
ÁR-004:005,,Fjárhústún,fjárhús,heimild,417672,381237,2,,,RGG,13/05/11,ÁE,,
ÁR-004:006,,Stekkatún,stekkur,heimild,417315,380553,2,,,RGG,13/05/11,ÁE,,
ÁR-004:007,,,túngarður,garðlag,417786,381351,2,,ÁR_004_007_A; ÁR_004_007_ASA,RGG,12/05/11,ÁE,,
ÁR-004:008,,Virki,varnargarður,garðlag,417002,380984,2,,,RGG,13/05/11,ÁE,,
ÁR-004:009,,Virkisvarða,virki,þúst,417161,381531,2,ÁR004-009,ÁR_004_009_NV,RGG,12/05/11,ÁE,,
ÁR-004:010,,,fjárhús,tóft,416372,381491,2,,,RGG,12/05/11,ÁE,,
ÁR-004:011,,,útihús,heimild,417520,381433,2,,,RGG,16/01/12,ÁE,,
ÁR-004:013,,Virkjavað,vað,gata,417284,381748,2,,ÁR_004_013_A,RGG,12/05/11,ÁE,,
ÁR-004:014,,,leið,gata,417966,381975,2,,ÁR_004_014_NV; ÁR_004_014_SSA,RGG,16/05/11,ÁE,,
ÁR-004:015,,Móvað,vað,heimild,417072,382225,2,,,RGG,16/05/11,ÁE,,
ÁR-004:016,,,mógrafir,náma,417005,382132,2,,RA004_016_N,RGG,16/05/11,ÁE,,
ÁR-004:017,,Leyniskjaftur,lögn,frásögn,417244,380174,2,,ÁR_004_017_S,RGG,16/05/11,ÁE,,
ÁR-004:018,,,fjárhús,frásögn,417338,381467,2,,,RGG,12/05/11,ÁE,,
ÁR-004:019,,,landamerki,heimild,418369,382130,2,,,RGG,16/05/11,ÁE,,
ÁR-004:020,,Ártúnsgrjót,huldufólksbústaður,álagablettur,417793,381279,2,,ÁR_004_020_SSA,RGG,12/05/11,ÁE,,
ÁR-004:021,,Lækningalind,,lind,417765,381328,2,,ÁR_004_021_N,RGG,12/05/11,ÁE,,
ÁR-004:022,,Fagrabrekka,huldufólksbústaður,huldufólksbústaður,417569,381361,2,,ÁR_004_022_ANA,RGG,12/05/11,ÁE,,
ÁR-004:023,,Urriðafossvað,vað,gata,417722,381271,2,,ÁR_004_023_S; ÁR_004_023_V,RGG,12/05/11,ÁE,,
ÁR-004:024,,,leið,gata,417705,381285,2,,ÁR_004_024_NNV,RGG,12/05/11,ÁE,,
ÁR-004:025,,Skógarvað,vað,heimild,417478,381480,2,,ÁR_004_025_NV,RGG,13/05/11,ÁE,,
ÁR-004:026,,Myllan,mylla,tóft,417438,381537,2,ÁR004-026,ÁR_004_026_NV,RGG,13/05/11,ÁE,,
ÁR-004:027,,,,mannvirki,417401,381661,2,ÁR004-027,ÁR_004_02 a-e,RGG,12/05/11,ÁE,,
ÁR-004:028,,Stöðulbali,kvíar,örnefni,417627,381424,2,,,RGG,12/05/11,ÁE,,
ÁR-004:029,,Klettarétt,rétt,tóft,417775,381426,2,ÁR004-029,ÁR_004_029_V,RGG,12/05/11,ÁE,,
ÁR-004:030,,,heystæði,tóft,417199,381746,2,ÁR004-030,ÁR_004_030_N,RGG,13/05/11,ÁE,,
ÁR-004:031,,Lækjarlátur,lögn,heimild,417859,381160,2,,ÁR_004_031_ANA,RGG,13/05/11,ÁE,,
ÁR-004:032,,Hulda,lögn,heimild,417877,381148,2,,ÁR_004_032_SA,RGG,13/05/11,ÁE,,
ÁR-004:033,,Vaður,lögn,heimild,417923,381056,2,,ÁR_004_033_038_SA,RGG,13/05/11,ÁE,,
ÁR-004:035,,Kletturinn,lögn,heimild,417499,380441,2,,ÁR_004_035-036,RGG,13/05/11,ÁE,,
ÁR-004:036,,Skyggnir,lögn,heimild,417500,380428,2,,ÁR_004_035-036,RGG,13/05/11,ÁE,,
ÁR-004:037,,Skerið,lögn,heimild,417488,380372,2,,ÁR_004_035-036,RGG,13/05/11,ÁE,,
ÁR-004:038,,Framan í,lögn,heimild,417951,381057,2,,ÁR_004_033_038_SA,RGG,13/05/11,ÁE,,
ÁR-004:039,,Norðan í,lögn,heimild,417964,381114,2,,ÁR_004_039_SSA,RGG,13/05/11,ÁE,,
ÁR-004:040,,Stóralátur,lögn,heimild,417445,380305,2,,,RGG,13/05/11,ÁE,,
ÁR-004:041,,Sandholtslátur,lögn,heimild,418111,381724,2,,ÁR_004_041_S,RGG,13/05/11,ÁE,,
ÁR-004:042,,,mógrafir,heimild,417176,381760,2,,ÁR_004_042_N; ÁR_004_042_NV,RGG,13/05/11,ÁE,,
